"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Exam 1","Exam 2"
"111396","406","33","27","26","34","40","38","108","100"
"111338","765","39","41","52","51","52","59","219","252"
"111328","410","25","36","28","31","27","22","137","104"
"111148","804","59","60","56","47","36","62","240","244"
"111192","891","66","53","55","66","51","54","270","276"
"111333","468","30","29","30","32","26","37","119","165"
"111363","925","66","60","63","62","63","57","254","300"
"111146","929","65","62","59","66","59","62","266","290"
"111239","662","38","51","38","46","29","42","253","165"
"111316","904","66","50","63","60","46","61","274","284"
"111257","800","52","59","58","51","60","54","239","227"
"111224","497","34","34","39","29","32","26","196","107"
"111255","803","66","55","55","47","53","45","246","236"
"111379","433","15","24","39","30","37","37","98","153"
"111291","675","53","57","44","46","38","55","206","176"
"111296","667","45","48","35","39","49","44","196","211"
